game,date_season,winning_team,score,losing_team,venue,city
XXXVII,"January 26, 2003 ( 2002 )","Tampa Bay Buccaneers N (1, 1–0 )",48–21,"Oakland Raiders A (5, 3–2 )",Qualcomm Stadium (3),"San Diego, California (3)"
XXXVIII,"February 1, 2004 ( 2003 )","New England Patriots A (4, 2–2 )",32–29,"Carolina Panthers N (1, 0–1 )",Reliant Stadium,"Houston, Texas (2)"
XXXIX,"February 6, 2005 ( 2004 )","New England Patriots A (5, 3–2 )",24–21,"Philadelphia Eagles N (2, 0–2 )",Alltel Stadium,"Jacksonville, Florida"
XL,"February 5, 2006 ( 2005 )","Pittsburgh Steelers A (6, 5–1 )",21–10,"Seattle Seahawks N (1, 0–1 )",Ford Field,"Detroit, Michigan (2)"
XLI,"February 4, 2007 ( 2006 )","Indianapolis Colts A (3, 2–1 )",29–17,"Chicago Bears N (2, 1–1 )",Dolphin Stadium (4),"Miami Gardens, Florida (9)"
XLII,"February 3, 2008 ( 2007 )","New York Giants N (4, 3–1 )",17–14,"New England Patriots A (6, 3–3 )",University of Phoenix Stadium,"Glendale, Arizona (2)"
XLIII,"February 1, 2009 ( 2008 )","Pittsburgh Steelers A (7, 6–1 )",27–23,"Arizona Cardinals N (1, 0–1 )",Raymond James Stadium (2),"Tampa, Florida (4)"
XLIV,"February 7, 2010 ( 2009 )","New Orleans Saints N (1, 1–0 )",31–17,"Indianapolis Colts A (4, 2–2 )",Sun Life Stadium (5),"Miami Gardens, Florida (10)"
XLV,"February 6, 2011 ( 2010 )","Green Bay Packers N (5, 4–1 )",31–25,"Pittsburgh Steelers A (8, 6–2 )",Cowboys Stadium,"Arlington, Texas"
XLVI,"February 5, 2012 ( 2011 )","New York Giants N (5, 4–1 )",21–17,"New England Patriots A (7, 3–4 )",Lucas Oil Stadium,"Indianapolis, Indiana"
XLVII,"February 3, 2013 ( 2012 )","Baltimore Ravens A (2, 2–0 )",34–31,"San Francisco 49ers N (6, 5–1 )",Mercedes-Benz Superdome (7),"New Orleans, Louisiana (10)"
XLVIII,"February 2, 2014 ( 2013 )","Seattle Seahawks N (2, 1–1 )",43–8,"Denver Broncos A (7, 2–5 )",MetLife Stadium,"East Rutherford, New Jersey"
XLIX,"February 1, 2015 ( 2014 )","New England Patriots A (8, 4–4 )",28–24,"Seattle Seahawks N (3, 1–2 )",University of Phoenix Stadium (2),"Glendale, Arizona (3)"
